ANIO,CVE_GEO,EDAD,SEXO,POBLACION
2012,00,0,1,1138128
2012,00,0,2,1097960
2012,00,1,1,1136252
2012,00,1,2,1097525
2012,00,2,1,1137174
2012,00,2,2,1099006
2012,00,3,1,1138979
2012,00,3,2,1101028
2012,00,4,1,1140362
2012,00,4,2,1102601
2012,00,5,1,1142051
2012,00,5,2,1103364
2012,00,6,1,1144684
2012,00,6,2,1104870
2012,00,7,1,1146771
2012,00,7,2,1106648
2012,00,8,1,1145710
2012,00,8,2,1106062
2012,00,9,1,1141729
2012,00,9,2,1103633
2012,00,10,1,1137750
2012,00,10,2,1101999
2012,00,11,1,1134266
2012,00,11,2,1100860
2012,00,12,1,1131373
2012,00,12,2,1099171
2012,00,13,1,1130006
2012,00,13,2,1097314
2012,00,14,1,1129565
2012,00,14,2,1096412
2012,00,15,1,1129188
2012,00,15,2,1097397
2012,00,16,1,1128802
2012,00,16,2,1099789
2012,00,17,1,1127450
2012,00,17,2,1101504
2013,00,0,1,1135685
2013,00,0,2,1095565
2013,00,1,1,1134373
2013,00,1,2,1095374
2013,00,2,1,1134748
2013,00,2,2,1096378
2013,00,3,1,1135981
2013,00,3,2,1097821
2013,00,4,1,1137776
2013,00,4,2,1099675
2013,00,5,1,1139182
2013,00,5,2,1101118
2013,00,6,1,1140894
2013,00,6,2,1101922
2013,00,7,1,1143549
2013,00,7,2,1103596
2013,00,8,1,1145674
2013,00,8,2,1105524
2013,00,9,1,1144687
2013,00,9,2,1105072
2013,00,10,1,1140788
2013,00,10,2,1102725
2013,00,11,1,1136841
2013,00,11,2,1101091
2013,00,12,1,1133258
2013,00,12,2,1099879
2013,00,13,1,1130081
2013,00,13,2,1098023
2013,00,14,1,1128226
2013,00,14,2,1095924
2013,00,15,1,1127138
2013,00,15,2,1094729
2013,00,16,1,1126040
2013,00,16,2,1095399
2013,00,17,1,1124975
2013,00,17,2,1097503
2014,00,0,1,1132616
2014,00,0,2,1092977
2014,00,1,1,1131793
2014,00,1,2,1093570
2014,00,2,1,1132637
2014,00,2,2,1094410
2014,00,3,1,1133343
2014,00,3,2,1095205
2014,00,4,1,1134680
2014,00,4,2,1096403
2014,00,5,1,1136507
2014,00,5,2,1098055
2014,00,6,1,1137950
2014,00,6,2,1099512
2014,00,7,1,1139688
2014,00,7,2,1100489
2014,00,8,1,1142396
2014,00,8,2,1102329
2014,00,9,1,1144598
2014,00,9,2,1104399
2014,00,10,1,1143693
2014,00,10,2,1104030
2014,00,11,1,1139830
2014,00,11,2,1101694
2014,00,12,1,1135789
2014,00,12,2,1099984
2014,00,13,1,1131914
2014,00,13,2,1098594
2014,00,14,1,1128236
2014,00,14,2,1096476
2014,00,15,1,1125716
2014,00,15,2,1094053
2014,00,16,1,1123892
2014,00,16,2,1092520
2014,00,17,1,1122097
2014,00,17,2,1092879
2015,00,0,1,1127945
2015,00,0,2,1088173
2015,00,1,1,1128698
2015,00,1,2,1090578
2015,00,2,1,1129973
2015,00,2,2,1092172
2015,00,3,1,1131160
2015,00,3,2,1092829
2015,00,4,1,1131968
2015,00,4,2,1093433
2015,00,5,1,1133340
2015,00,5,2,1094508
2015,00,6,1,1135202
2015,00,6,2,1096210
2015,00,7,1,1136674
2015,00,7,2,1097888
2015,00,8,1,1138469
2015,00,8,2,1099080
2015,00,9,1,1141251
2015,00,9,2,1101068
2015,00,10,1,1143538
2015,00,10,2,1103231
2015,00,11,1,1142672
2015,00,11,2,1102881
2015,00,12,1,1138712
2015,00,12,2,1100463
2015,00,13,1,1134364
2015,00,13,2,1098565
2015,00,14,1,1129969
2015,00,14,2,1096891
2015,00,15,1,1125586
2015,00,15,2,1094418
2015,00,16,1,1122286
2015,00,16,2,1091628
2015,00,17,1,1119721
2015,00,17,2,1089755
2016,00,0,1,1121645
2016,00,0,2,1081704
2016,00,1,1,1124418
2016,00,1,2,1085654
2016,00,2,1,1127128
2016,00,2,2,1089089
2016,00,3,1,1128718
2016,00,3,2,1090533
2016,00,4,1,1129946
2016,00,4,2,1091026
2016,00,5,1,1130765
2016,00,5,2,1091528
2016,00,6,1,1132150
2016,00,6,2,1092648
2016,00,7,1,1134027
2016,00,7,2,1094551
2016,00,8,1,1135537
2016,00,8,2,1096421
2016,00,9,1,1137385
2016,00,9,2,1097763
2016,00,10,1,1140226
2016,00,10,2,1099847
2016,00,11,1,1142530
2016,00,11,2,1102027
2016,00,12,1,1141555
2016,00,12,2,1101600
2016,00,13,1,1137312
2016,00,13,2,1099003
2016,00,14,1,1132476
2016,00,14,2,1096831
2016,00,15,1,1127415
2016,00,15,2,1094797
2016,00,16,1,1122281
2016,00,16,2,1091930
2016,00,17,1,1118250
2016,00,17,2,1088779
2017,00,0,1,1113761
2017,00,0,2,1073913
2017,00,1,1,1118296
2017,00,1,2,1079220
2017,00,2,1,1122880
2017,00,2,2,1084254
2017,00,3,1,1125870
2017,00,3,2,1087580
2017,00,4,1,1127482
2017,00,4,2,1088879
2017,00,5,1,1128714
2017,00,5,2,1089280
2017,00,6,1,1129547
2017,00,6,2,1089838
2017,00,7,1,1130952
2017,00,7,2,1091129
2017,00,8,1,1132865
2017,00,8,2,1093182
2017,00,9,1,1134417
2017,00,9,2,1095174
2017,00,10,1,1136312
2017,00,10,2,1096586
2017,00,11,1,1139155
2017,00,11,2,1098676
2017,00,12,1,1141346
2017,00,12,2,1100779
2017,00,13,1,1140093
2017,00,13,2,1100188
2017,00,14,1,1135371
2017,00,14,2,1097343
2017,00,15,1,1129882
2017,00,15,2,1094820
2017,00,16,1,1124063
2017,00,16,2,1092378
2017,00,17,1,1118171
2017,00,17,2,1089112
2018,00,0,1,1104787
2018,00,0,2,1065168
2018,00,1,1,1110633
2018,00,1,2,1071577
2018,00,2,1,1116884
2018,00,2,2,1077950
2018,00,3,1,1121705
2018,00,3,2,1082860
2018,00,4,1,1124685
2018,00,4,2,1086036
2018,00,5,1,1126281
2018,00,5,2,1087229
2018,00,6,1,1127507
2018,00,6,2,1087679
2018,00,7,1,1128352
2018,00,7,2,1088404
2018,00,8,1,1129782
2018,00,8,2,1089841
2018,00,9,1,1131736
2018,00,9,2,1092005
2018,00,10,1,1133343
2018,00,10,2,1094061
2018,00,11,1,1135244
2018,00,11,2,1095472
2018,00,12,1,1137973
2018,00,12,2,1097486
2018,00,13,1,1139882
2018,00,13,2,1099436
2018,00,14,1,1138147
2018,00,14,2,1098622
2018,00,15,1,1132763
2018,00,15,2,1095459
2018,00,16,1,1126508
2018,00,16,2,1092570
2018,00,17,1,1119916
2018,00,17,2,1089740
2019,00,0,1,1096055
2019,00,0,2,1056648
2019,00,1,1,1101927
2019,00,1,2,1063017
2019,00,2,1,1109390
2019,00,2,2,1070438
2019,00,3,1,1115823
2019,00,3,2,1076651
2019,00,4,1,1120597
2019,00,4,2,1081390
2019,00,5,1,1123535
2019,00,5,2,1084444
2019,00,6,1,1125100
2019,00,6,2,1085683
2019,00,7,1,1126321
2019,00,7,2,1086296
2019,00,8,1,1127180
2019,00,8,2,1087162
2019,00,9,1,1128655
2019,00,9,2,1088709
2019,00,10,1,1130664
2019,00,10,2,1090929
2019,00,11,1,1132278
2019,00,11,2,1092980
2019,00,12,1,1134076
2019,00,12,2,1094316
2019,00,13,1,1136525
2019,00,13,2,1096183
2019,00,14,1,1137944
2019,00,14,2,1097918
2019,00,15,1,1135536
2019,00,15,2,1096811
2019,00,16,1,1129379
2019,00,16,2,1093302
2019,00,17,1,1122347
2019,00,17,2,1090037
2020,00,0,1,1087447
2020,00,0,2,1048275
2020,00,1,1,1093379
2020,00,1,2,1054636
2020,00,2,1,1100800
2020,00,2,2,1061974
2020,00,3,1,1108402
2020,00,3,2,1069224
2020,00,4,1,1114769
2020,00,4,2,1075251
2020,00,5,1,1119479
2020,00,5,2,1079856
2020,00,6,1,1122374
2020,00,6,2,1082945
2020,00,7,1,1123921
2020,00,7,2,1084339
2020,00,8,1,1125153
2020,00,8,2,1085091
2020,00,9,1,1126053
2020,00,9,2,1086065
2020,00,10,1,1127584
2020,00,10,2,1087661
2020,00,11,1,1129609
2020,00,11,2,1089876
2020,00,12,1,1131125
2020,00,12,2,1091850
2020,00,13,1,1132647
2020,00,13,2,1093043
2020,00,14,1,1134624
2020,00,14,2,1094700
2020,00,15,1,1135375
2020,00,15,2,1096156
2020,00,16,1,1132192
2020,00,16,2,1094702
2020,00,17,1,1125251
2020,00,17,2,1090828
2021,00,0,1,1078979
2021,00,0,2,1040057
2021,00,1,1,1084881
2021,00,1,2,1046369
2021,00,2,1,1092312
2021,00,2,2,1053673
2021,00,3,1,1099848
2021,00,3,2,1060825
2021,00,4,1,1107373
2021,00,4,2,1067880
2021,00,5,1,1113664
2021,00,5,2,1073771
2021,00,6,1,1118321
2021,00,6,2,1078404
2021,00,7,1,1121194
2021,00,7,2,1081642
2021,00,8,1,1122748
2021,00,8,2,1083176
2021,00,9,1,1124020
2021,00,9,2,1084027
2021,00,10,1,1124983
2021,00,10,2,1085048
2021,00,11,1,1126536
2021,00,11,2,1086636
2021,00,12,1,1128462
2021,00,12,2,1088771
2021,00,13,1,1129714
2021,00,13,2,1090602
2021,00,14,1,1130783
2021,00,14,2,1091596
2021,00,15,1,1132117
2021,00,15,2,1092976
2021,00,16,1,1132097
2021,00,16,2,1094078
2021,00,17,1,1128115
2021,00,17,2,1092254
2012,01,0,1,13014
2012,01,0,2,12425
2012,01,1,1,13052
2012,01,1,2,12467
2012,01,2,1,13097
2012,01,2,2,12522
2012,01,3,1,13137
2012,01,3,2,12578
2012,01,4,1,13162
2012,01,4,2,12621
2012,01,5,1,13184
2012,01,5,2,12651
2012,01,6,1,13210
2012,01,6,2,12684
2012,01,7,1,13226
2012,01,7,2,12714
2012,01,8,1,13201
2012,01,8,2,12711
2012,01,9,1,13136
2012,01,9,2,12681
2012,01,10,1,13065
2012,01,10,2,12653
2012,01,11,1,12996
2012,01,11,2,12623
2012,01,12,1,12932
2012,01,12,2,12579
2012,01,13,1,12886
2012,01,13,2,12526
2012,01,14,1,12848
2012,01,14,2,12478
2012,01,15,1,12808
2012,01,15,2,12446
2012,01,16,1,12764
2012,01,16,2,12424
2012,01,17,1,12705
2012,01,17,2,12391
2013,01,0,1,13044
2013,01,0,2,12431
2013,01,1,1,13091
2013,01,1,2,12479
2013,01,2,1,13131
2013,01,2,2,12532
2013,01,3,1,13165
2013,01,3,2,12588
2013,01,4,1,13198
2013,01,4,2,12644
2013,01,5,1,13222
2013,01,5,2,12691
2013,01,6,1,13246
2013,01,6,2,12727
2013,01,7,1,13278
2013,01,7,2,12768
2013,01,8,1,13300
2013,01,8,2,12806
2013,01,9,1,13281
2013,01,9,2,12811
2013,01,10,1,13223
2013,01,10,2,12786
2013,01,11,1,13163
2013,01,11,2,12762
2013,01,12,1,13108
2013,01,12,2,12734
2013,01,13,1,13058
2013,01,13,2,12691
2013,01,14,1,13020
2013,01,14,2,12637
2013,01,15,1,12987
2013,01,15,2,12585
2013,01,16,1,12948
2013,01,16,2,12547
2013,01,17,1,12903
2013,01,17,2,12519
2014,01,0,1,13066
2014,01,0,2,12435
2014,01,1,1,13122
2014,01,1,2,12494
2014,01,2,1,13168
2014,01,2,2,12550
2014,01,3,1,13196
2014,01,3,2,12605
2014,01,4,1,13228
2014,01,4,2,12662
2014,01,5,1,13262
2014,01,5,2,12721
2014,01,6,1,13291
2014,01,6,2,12776
2014,01,7,1,13321
2014,01,7,2,12820
2014,01,8,1,13361
2014,01,8,2,12869
2014,01,9,1,13391
2014,01,9,2,12916
2014,01,10,1,13381
2014,01,10,2,12926
2014,01,11,1,13336
2014,01,11,2,12906
2014,01,12,1,13292
2014,01,12,2,12883
2014,01,13,1,13250
2014,01,13,2,12854
2014,01,14,1,13208
2014,01,14,2,12808
2014,01,15,1,13172
2014,01,15,2,12747
2014,01,16,1,13138
2014,01,16,2,12686
2014,01,17,1,13095
2014,01,17,2,12639
2015,01,0,1,13070
2015,01,0,2,12413
2015,01,1,1,13147
2015,01,1,2,12496
2015,01,2,1,13198
2015,01,2,2,12565
2015,01,3,1,13233
2015,01,3,2,12625
2015,01,4,1,13262
2015,01,4,2,12683
2015,01,5,1,13296
2015,01,5,2,12745
2015,01,6,1,13338
2015,01,6,2,12814
2015,01,7,1,13374
2015,01,7,2,12878
2015,01,8,1,13414
2015,01,8,2,12932
2015,01,9,1,13463
2015,01,9,2,12989
2015,01,10,1,13503
2015,01,10,2,13042
2015,01,11,1,13508
2015,01,11,2,13056
2015,01,12,1,13481
2015,01,12,2,13036
2015,01,13,1,13451
2015,01,13,2,13011
2015,01,14,1,13416
2015,01,14,2,12978
2015,01,15,1,13373
2015,01,15,2,12920
2015,01,16,1,13334
2015,01,16,2,12848
2015,01,17,1,13292
2015,01,17,2,12775
2016,01,0,1,12848
2016,01,0,2,12286
2016,01,1,1,13111
2016,01,1,2,12452
2016,01,2,1,13193
2016,01,2,2,12544
2016,01,3,1,13240
2016,01,3,2,12614
2016,01,4,1,13277
2016,01,4,2,12675
2016,01,5,1,13310
2016,01,5,2,12736
2016,01,6,1,13353
2016,01,6,2,12806
2016,01,7,1,13399
2016,01,7,2,12880
2016,01,8,1,13440
2016,01,8,2,12950
2016,01,9,1,13484
2016,01,9,2,13010
2016,01,10,1,13542
2016,01,10,2,13070
2016,01,11,1,13593
2016,01,11,2,13123
2016,01,12,1,13607
2016,01,12,2,13138
2016,01,13,1,13585
2016,01,13,2,13115
2016,01,14,1,13554
2016,01,14,2,13085
2016,01,15,1,13515
2016,01,15,2,13043
2016,01,16,1,13465
2016,01,16,2,12976
2016,01,17,1,13417
2016,01,17,2,12895
2017,01,0,1,12646
2017,01,0,2,12191
2017,01,1,1,12847
2017,01,1,2,12304
2017,01,2,1,13126
2017,01,2,2,12477
2017,01,3,1,13210
2017,01,3,2,12566
2017,01,4,1,13257
2017,01,4,2,12634
2017,01,5,1,13300
2017,01,5,2,12695
2017,01,6,1,13342
2017,01,6,2,12760
2017,01,7,1,13384
2017,01,7,2,12832
2017,01,8,1,13430
2017,01,8,2,12909
2017,01,9,1,13472
2017,01,9,2,12981
2017,01,10,1,13522
2017,01,10,2,13041
2017,01,11,1,13586
2017,01,11,2,13099
2017,01,12,1,13636
2017,01,12,2,13151
2017,01,13,1,13645
2017,01,13,2,13163
2017,01,14,1,13616
2017,01,14,2,13137
2017,01,15,1,13578
2017,01,15,2,13103
2017,01,16,1,13529
2017,01,16,2,13054
2017,01,17,1,13468
2017,01,17,2,12983
2018,01,0,1,12597
2018,01,0,2,12141
2018,01,1,1,12647
2018,01,1,2,12209
2018,01,2,1,12864
2018,01,2,2,12330
2018,01,3,1,13143
2018,01,3,2,12501
2018,01,4,1,13226
2018,01,4,2,12587
2018,01,5,1,13281
2018,01,5,2,12655
2018,01,6,1,13330
2018,01,6,2,12719
2018,01,7,1,13372
2018,01,7,2,12787
2018,01,8,1,13415
2018,01,8,2,12861
2018,01,9,1,13461
2018,01,9,2,12939
2018,01,10,1,13509
2018,01,10,2,13011
2018,01,11,1,13565
2018,01,11,2,13069
2018,01,12,1,13627
2018,01,12,2,13126
2018,01,13,1,13673
2018,01,13,2,13176
2018,01,14,1,13676
2018,01,14,2,13185
2018,01,15,1,13639
2018,01,15,2,13156
2018,01,16,1,13592
2018,01,16,2,13115
2018,01,17,1,13530
2018,01,17,2,13062
2019,01,0,1,12531
2019,01,0,2,12076
2019,01,1,1,12601
2019,01,1,2,12161
2019,01,2,1,12666
2019,01,2,2,12237
2019,01,3,1,12883
2019,01,3,2,12354
2019,01,4,1,13159
2019,01,4,2,12522
2019,01,5,1,13250
2019,01,5,2,12609
2019,01,6,1,13310
2019,01,6,2,12680
2019,01,7,1,13360
2019,01,7,2,12746
2019,01,8,1,13401
2019,01,8,2,12816
2019,01,9,1,13445
2019,01,9,2,12891
2019,01,10,1,13498
2019,01,10,2,12969
2019,01,11,1,13551
2019,01,11,2,13039
2019,01,12,1,13606
2019,01,12,2,13096
2019,01,13,1,13664
2019,01,13,2,13152
2019,01,14,1,13703
2019,01,14,2,13198
2019,01,15,1,13697
2019,01,15,2,13203
2019,01,16,1,13652
2019,01,16,2,13169
2019,01,17,1,13592
2019,01,17,2,13124
2020,01,0,1,12463
2020,01,0,2,12011
2020,01,1,1,12536
2020,01,1,2,12097
2020,01,2,1,12620
2020,01,2,2,12188
2020,01,3,1,12686
2020,01,3,2,12261
2020,01,4,1,12901
2020,01,4,2,12376
2020,01,5,1,13183
2020,01,5,2,12544
2020,01,6,1,13279
2020,01,6,2,12634
2020,01,7,1,13338
2020,01,7,2,12706
2020,01,8,1,13389
2020,01,8,2,12775
2020,01,9,1,13431
2020,01,9,2,12846
2020,01,10,1,13480
2020,01,10,2,12921
2020,01,11,1,13539
2020,01,11,2,12997
2020,01,12,1,13591
2020,01,12,2,13066
2020,01,13,1,13641
2020,01,13,2,13121
2020,01,14,1,13693
2020,01,14,2,13173
2020,01,15,1,13724
2020,01,15,2,13217
2020,01,16,1,13710
2020,01,16,2,13217
2020,01,17,1,13653
2020,01,17,2,13177
2021,01,0,1,12395
2021,01,0,2,11945
2021,01,1,1,12468
2021,01,1,2,12032
2021,01,2,1,12555
2021,01,2,2,12125
2021,01,3,1,12639
2021,01,3,2,12213
2021,01,4,1,12705
2021,01,4,2,12283
2021,01,5,1,12924
2021,01,5,2,12398
2021,01,6,1,13211
2021,01,6,2,12569
2021,01,7,1,13306
2021,01,7,2,12660
2021,01,8,1,13366
2021,01,8,2,12735
2021,01,9,1,13418
2021,01,9,2,12805
2021,01,10,1,13466
2021,01,10,2,12876
2021,01,11,1,13520
2021,01,11,2,12950
2021,01,12,1,13578
2021,01,12,2,13024
2021,01,13,1,13625
2021,01,13,2,13091
2021,01,14,1,13670
2021,01,14,2,13143
2021,01,15,1,13715
2021,01,15,2,13192
2021,01,16,1,13737
2021,01,16,2,13230
2021,01,17,1,13711
2021,01,17,2,13225
2012,02,0,1,30980
2012,02,0,2,30012
2012,02,1,1,30958
2012,02,1,2,30055
2012,02,2,1,31004
2012,02,2,2,30124
2012,02,3,1,31070
2012,02,3,2,30189
2012,02,4,1,31122
2012,02,4,2,30227
2012,02,5,1,31184
2012,02,5,2,30233
2012,02,6,1,31273
2012,02,6,2,30252
2012,02,7,1,31352
2012,02,7,2,30275
2012,02,8,1,31353
2012,02,8,2,30230
2012,02,9,1,31282
2012,02,9,2,30134
2012,02,10,1,31220
2012,02,10,2,30058
2012,02,11,1,31187
2012,02,11,2,30000
2012,02,12,1,31187
2012,02,12,2,29935
2012,02,13,1,31248
2012,02,13,2,29877
2012,02,14,1,31356
2012,02,14,2,29861
2012,02,15,1,31490
2012,02,15,2,29915
2012,02,16,1,31648
2012,02,16,2,30024
2012,02,17,1,31803
2012,02,17,2,30136
2013,02,0,1,30611
2013,02,0,2,29785
2013,02,1,1,30618
2013,02,1,2,29867
2013,02,2,1,30665
2013,02,2,2,29946
2013,02,3,1,30732
2013,02,3,2,30011
2013,02,4,1,30814
2013,02,4,2,30068
2013,02,5,1,30888
2013,02,5,2,30104
2013,02,6,1,30974
2013,02,6,2,30113
2013,02,7,1,31089
2013,02,7,2,30141
2013,02,8,1,31198
2013,02,8,2,30173
2013,02,9,1,31230
2013,02,9,2,30138
2013,02,10,1,31190
2013,02,10,2,30049
2013,02,11,1,31162
2013,02,11,2,29983
2013,02,12,1,31158
2013,02,12,2,29938
2013,02,13,1,31181
2013,02,13,2,29890
2013,02,14,1,31259
2013,02,14,2,29852
2013,02,15,1,31377
2013,02,15,2,29858
2013,02,16,1,31514
2013,02,16,2,29932
2013,02,17,1,31671
2013,02,17,2,30064
2014,02,0,1,30227
2014,02,0,2,29553
2014,02,1,1,30261
2014,02,1,2,29690
2014,02,2,1,30335
2014,02,2,2,29787
2014,02,3,1,30405
2014,02,3,2,29849
2014,02,4,1,30493
2014,02,4,2,29901
2014,02,5,1,30598
2014,02,5,2,29952
2014,02,6,1,30698
2014,02,6,2,29988
2014,02,7,1,30810
2014,02,7,2,30006
2014,02,8,1,30955
2014,02,8,2,30043
2014,02,9,1,31094
2014,02,9,2,30084
2014,02,10,1,31156
2014,02,10,2,30055
2014,02,11,1,31148
2014,02,11,2,29977
2014,02,12,1,31147
2014,02,12,2,29925
2014,02,13,1,31162
2014,02,13,2,29899
2014,02,14,1,31199
2014,02,14,2,29871
2014,02,15,1,31282
2014,02,15,2,29855
2014,02,16,1,31398
2014,02,16,2,29881
2014,02,17,1,31528
2014,02,17,2,29975
2015,02,0,1,29802
2015,02,0,2,29263
2015,02,1,1,29891
2015,02,1,2,29481
2015,02,2,1,29992
2015,02,2,2,29621
2015,02,3,1,30092
2015,02,3,2,29695
2015,02,4,1,30184
2015,02,4,2,29742
2015,02,5,1,30297
2015,02,5,2,29788
2015,02,6,1,30429
2015,02,6,2,29840
2015,02,7,1,30555
2015,02,7,2,29886
2015,02,8,1,30696
2015,02,8,2,29913
2015,02,9,1,30871
2015,02,9,2,29958
2015,02,10,1,31038
2015,02,10,2,30004
2015,02,11,1,31129
2015,02,11,2,29986
2015,02,12,1,31146
2015,02,12,2,29922
2015,02,13,1,31161
2015,02,13,2,29891
2015,02,14,1,31186
2015,02,14,2,29887
2015,02,15,1,31222
2015,02,15,2,29881
2015,02,16,1,31297
2015,02,16,2,29884
2015,02,17,1,31399
2015,02,17,2,29926
2016,02,0,1,29753
2016,02,0,2,28974
2016,02,1,1,29774
2016,02,1,2,29379
2016,02,2,1,29900
2016,02,2,2,29593
2016,02,3,1,30004
2016,02,3,2,29705
2016,02,4,1,30104
2016,02,4,2,29757
2016,02,5,1,30178
2016,02,5,2,29763
2016,02,6,1,30276
2016,02,6,2,29781
2016,02,7,1,30415
2016,02,7,2,29838
2016,02,8,1,30551
2016,02,8,2,29887
2016,02,9,1,30703
2016,02,9,2,29918
2016,02,10,1,30898
2016,02,10,2,29972
2016,02,11,1,31087
2016,02,11,2,30028
2016,02,12,1,31187
2016,02,12,2,30016
2016,02,13,1,31208
2016,02,13,2,29961
2016,02,14,1,31223
2016,02,14,2,29939
2016,02,15,1,31280
2016,02,15,2,29973
2016,02,16,1,31343
2016,02,16,2,30002
2016,02,17,1,31403
2016,02,17,2,30010
2017,02,0,1,29902
2017,02,0,2,28819
2017,02,1,1,30012
2017,02,1,2,29260
2017,02,2,1,30043
2017,02,2,2,29661
2017,02,3,1,30148
2017,02,3,2,29846
2017,02,4,1,30231
2017,02,4,2,29932
2017,02,5,1,30270
2017,02,5,2,29910
2017,02,6,1,30289
2017,02,6,2,29860
2017,02,7,1,30375
2017,02,7,2,29877
2017,02,8,1,30505
2017,02,8,2,29933
2017,02,9,1,30635
2017,02,9,2,29980
2017,02,10,1,30800
2017,02,10,2,30023
2017,02,11,1,31009
2017,02,11,2,30087
2017,02,12,1,31195
2017,02,12,2,30140
2017,02,13,1,31289
2017,02,13,2,30123
2017,02,14,1,31300
2017,02,14,2,30062
2017,02,15,1,31380
2017,02,15,2,30095
2017,02,16,1,31500
2017,02,16,2,30180
2017,02,17,1,31551
2017,02,17,2,30203
2018,02,0,1,29784
2018,02,0,2,28703
2018,02,1,1,30157
2018,02,1,2,29103
2018,02,2,1,30275
2018,02,2,2,29539
2018,02,3,1,30286
